what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1407043725449
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1407043726052
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1407043726121
error,log,,,"Warning: Ignoring name conflict in resource file for name action_settings",1407043726129
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1407043726201
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_vertical_margin",1407043726209
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1407043726242
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1407043729204
error,log,,,"Warning: Ignoring name conflict in resource file for name action_settings",1407043729210
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1407043729232
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_vertical_margin",1407043729237
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1407043729247
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1407043729465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407043729776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1407043729804
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407043729936
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407043730088
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1407043730910
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1407043731169
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1407043740539
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407043740760
closed,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1407043752110
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1407043754817
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1407043755209
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1407043755509
error,log,,,"Failed to update a TargetChangeListener.",1407043760710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407043769623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407043769787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407043777349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407043822787
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407043831179
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1407043860797
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1407043860844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407043861459
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1407043876506
