what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1407075593797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1407075594922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407075595492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075601634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075605979
error,log,,,"Failed to call IFileListener.fileChanged",1407075607605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1407075608527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075610121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075620213
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1407075625770
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1407075625785
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407075626551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075644008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075644259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407075647574
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1407075652624
started,bundle,com.android.ide.eclipse.ndk,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.ndk",1407075653124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075653548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075656393
started,bundle,com.android.ide.eclipse.ddms,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.ddms",1407075656486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075656783
started,bundle,com.android.ide.eclipse.traceview,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.traceview",1407075657287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075658649
opened,view,com.android.ide.eclipse.ddms,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.ddms.views.LogCatView",1407075685038
activated,view,com.android.ide.eclipse.ddms,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.ddms.views.LogCatView",1407075685140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075688854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075688884
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407075688961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075692135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407075694901
activated,view,com.android.ide.eclipse.ddms,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.ddms.views.LogCatView",1407075697769
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.mylyn.tasks.ui.views.tasks while still in the middle of activating part org.eclipse.jdt.ui.CompilationUnitEditor",1407075715217
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407075715262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1407075722294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1407075722481
