what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421634698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421634749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421639345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421639478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407421647499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421648883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421648993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407421661326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421662702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421662801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407421674183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421679242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421679374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407421685271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421686802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421686922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421690213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421690333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407421699040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421700383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421700491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421708461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421710612
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1407421725201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407421733580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407421756690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407421938211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421940396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421941651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421945341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407421963485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407421968337
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1407421969125
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1407421969136
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1407421972119
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407421972120
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407421997639
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407421997754
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1407421998523
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407421998762
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407421998870
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1407422000000
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407422000150
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407422000247
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1407422000959
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407422001125
