what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1408085705546
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1408085705578
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1408085705578
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1408085705578
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1408085705578
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1408085705593
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1408085705593
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1408085705624
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1408085705640
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1408085705640
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1408085705640
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1408085705640
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1408085705640
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1408085705749
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1408085705749
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1408085705765
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1408085705765
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1408085705812
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1408085705843
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1408085705890
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1408085705984
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1408085705999
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1408085706015
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1408085706046
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1408085706203
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1408085706203
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1408085706203
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1408085706218
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1408085706374
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1408085706390
started,bundle,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.adt",1408085706390
started,bundle,com.android.ide.eclipse.base,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.base",1408085706390
os,sysinfo,,,"win32",1408085706390
arch,sysinfo,,,"x86_64",1408085706390
ws,sysinfo,,,"win32",1408085706390
locale,sysinfo,,,"en_US",1408085706390
processors,sysinfo,,,"4",1408085706390
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408085706390
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1408085706390
java.specification.name,sysinfo,,,"Java Platform API Specification",1408085706390
java.specification.vendor,sysinfo,,,"Oracle Corporation",1408085706390
java.specification.version,sysinfo,,,"1.8",1408085706390
java.vendor,sysinfo,,,"Oracle Corporation",1408085706390
java.version,sysinfo,,,"1.8.0_05",1408085706390
java.vm.info,sysinfo,,,"mixed mode",1408085706390
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1408085706390
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408085706390
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1408085706390
java.vm.specification.version,sysinfo,,,"1.8",1408085706390
java.vm.vendor,sysinfo,,,"Oracle Corporation",1408085706390
java.vm.version,sysinfo,,,"25.5-b02",1408085706390
