what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1407425065638
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407425067335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407425096031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407425101852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407425105037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425110272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425110390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407425113941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425115221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425115327
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1407425126722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425128875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425128991
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1407425133924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425135175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425135291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425150216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425150313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407425162862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425164709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425164806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425174378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425174509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425190246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407425190347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1407425206166
