what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406363029409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363052160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363055189
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1406363055206
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406363060074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363066676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363066845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363072290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363131451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406363138059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406363140379
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406363144026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363146184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363258851
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1406363261469
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1406363265006
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1406363265593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406363269321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406363271467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363272600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363283273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1406363296992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1406363297254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1406363297447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1406363298116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1406363298378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406363304194
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406363307328
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1406363313593
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1406363314327
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1406363314429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363327504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363339858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406363343156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406363345084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406363350505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363352258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363484127
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406363488703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406363495376
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1406363499142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363510952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363511083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406363511136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363516895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363573788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406363577130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1406363577858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406363579974
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1406363703428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406363704686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406364715502
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406364715575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406364723236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406364747405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406364751887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406364767574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406364770225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406364771427
activated,view,com.android.ide.eclipse.ddms,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.ddms.views.LogCatView",1406364817782
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1406364875408
opened,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1406364875929
activated,editor,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.editors.CommonXmlEditor",1406364876154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1406364904445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1406364907006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1406364907061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406364907245
